week,counter (7a-7d) median,"delta=0, L*=1 median","delta=0.25, L*=1 median","delta=0.5, L*=1 median","delta=1, L*=1 median","delta=0, L*=1.25 median","delta=0.25, L*=1.25 median","delta=0.5, L*=1.25 median","delta=1, L*=1.25 median",counter (7a-7d) IQR,"delta=0, L*=1 IQR","delta=0.25, L*=1 IQR","delta=0.5, L*=1 IQR","delta=1, L*=1 IQR","delta=0, L*=1.25 IQR","delta=0.25, L*=1.25 IQR","delta=0.5, L*=1.25 IQR","delta=1, L*=1.25 IQR"
54,0.0,0.5149268507957458,0.521094560623169,0.5284077823162079,0.5429031550884247,0.4007684737443924,0.4089847058057785,0.414512574672699,0.42100757360458374,0.5,0.4825291931629181,0.4860319271683693,0.48480306565761566,0.5093654245138168,0.3974502570927143,0.40319882705807686,0.4092433452606201,0.4237654507160187
55,0.0,0.5240055918693542,0.5329742729663849,0.538297176361084,0.5528643131256104,0.4049290269613266,0.4169120490550995,0.42210768163204193,0.4333183765411377,0.5,0.4717239439487457,0.47723056375980377,0.4831959903240204,0.494778111577034,0.37947455793619156,0.3962971493601799,0.3998519703745842,0.4132963940501213
56,0.0,0.5107148289680481,0.5208727419376373,0.5308156609535217,0.5509235858917236,0.40381306409835815,0.4115231931209564,0.4210592061281204,0.4308411777019501,0.5,0.4872395694255829,0.4953809753060341,0.5048311054706573,0.5217296630144119,0.3918522149324417,0.4021555185317993,0.412630133330822,0.430501788854599
57,0.0,0.5337521731853485,0.5411325097084045,0.553831934928894,0.568673312664032,0.4146123081445694,0.4243607819080353,0.43093976378440857,0.43996602296829224,0.5,0.4815923646092415,0.48969997465610504,0.4985537827014923,0.5183058977127075,0.40034307166934013,0.4124345928430557,0.4164741635322571,0.4309278130531311
58,0.0,0.530003011226654,0.5411220490932465,0.5462995767593384,0.5602236390113831,0.40995873510837555,0.4166581630706787,0.4265511631965637,0.4396325945854187,0.5,0.48663070797920227,0.4952050745487213,0.5071964710950851,0.5347053036093712,0.3987995870411396,0.40969787538051605,0.4243396669626236,0.45560451596975327
59,0.0,0.512401670217514,0.5181935429573059,0.5215947329998016,0.5415244102478027,0.3958929181098938,0.4018988311290741,0.4072491377592087,0.41626253724098206,0.5,0.47705942392349243,0.48271968215703964,0.4838395416736603,0.4989711418747902,0.39287716150283813,0.3973254971206188,0.40649187192320824,0.417536698281765
60,0.0,0.5116266310214996,0.5206513404846191,0.5277125835418701,0.5363003015518188,0.39358285069465637,0.4049736261367798,0.4110742509365082,0.4196282923221588,0.5,0.47900037467479706,0.48524725437164307,0.4879913926124573,0.5087803453207016,0.3862443193793297,0.3914283812046051,0.3938334435224533,0.41951751708984375
61,0.0,0.5250257849693298,0.5340666174888611,0.5437335073947906,0.5587037801742554,0.402145653963089,0.4131699502468109,0.4217371940612793,0.43955278396606445,0.5,0.47897064685821533,0.48187147825956345,0.49041690677404404,0.5071376264095306,0.3942728787660599,0.4011758603155613,0.4136096090078354,0.42618514597415924
62,0.0,0.526389479637146,0.5318305194377899,0.5425768196582794,0.5494208931922913,0.4103166311979294,0.42078566551208496,0.4241867959499359,0.4322163313627243,0.5,0.46323399245738983,0.47596200555562973,0.4828905388712883,0.5046168565750122,0.3867388479411602,0.39343026280403137,0.4052169471979141,0.42190297693014145
63,0.0,0.514761745929718,0.5250920653343201,0.5307807922363281,0.5415695309638977,0.40168729424476624,0.4126650542020798,0.42100992798805237,0.42771410942077637,0.5,0.48120301961898804,0.4860694706439972,0.4937889724969864,0.5174223631620407,0.39964208006858826,0.40571094304323196,0.41079240664839745,0.42986440658569336
64,0.0,0.5304470062255859,0.5384101867675781,0.5458134412765503,0.5598974227905273,0.40019845962524414,0.41014420986175537,0.4170859456062317,0.42451509833335876,0.5,0.46789541840553284,0.46903176605701447,0.4775993749499321,0.4962461143732071,0.3904685527086258,0.3956775814294815,0.41035473719239235,0.42457038909196854
65,0.0,0.514115571975708,0.5213279724121094,0.5298728346824646,0.5424251556396484,0.39983615279197693,0.4072866290807724,0.41386690735816956,0.4230944812297821,0.5,0.4817741811275482,0.49173781275749207,0.4992978125810623,0.5119669139385223,0.39734190702438354,0.4043494164943695,0.40883681923151016,0.41612835228443146
