delta,schedule,family,flat,scheduled,gain_pct,ci_lo_pct,ci_hi_pct
1.0,cycle 2wk @0.80x / 2wk @1.10x,cyclic,43.54196590909093,37.402901010101026,-14.099190908851824,-14.978672868744061,-13.219708948959589
1.0,cycle 2wk @0.80x / 2wk @1.20x,cyclic,43.54196590909093,30.92621616161616,-28.9737715881147,-30.1925164959247,-27.755026680304706
1.0,cycle 2wk @0.90x / 2wk @1.10x,cyclic,43.54196590909093,38.84927803030304,-10.777390916582679,-11.619470796821442,-9.935311036343913
1.0,cycle 2wk @0.90x / 2wk @1.20x,cyclic,43.54196590909093,31.42564659090909,-27.82676221711924,-29.020622680540807,-26.63290175369767
1.0,cycle 2wk @0.80x / 4wk @1.10x,cyclic,43.54196590909093,36.51236275252526,-16.144432181225863,-17.01622431569924,-15.272640046752487
1.0,cycle 2wk @0.80x / 4wk @1.20x,cyclic,43.54196590909093,26.662189898989894,-38.76668326217396,-40.08016262263839,-37.45320390170953
1.0,cycle 2wk @0.90x / 4wk @1.10x,cyclic,43.54196590909093,36.71733964646466,-15.673675085950581,-16.50467346559794,-14.842676706303223
1.0,cycle 2wk @0.90x / 4wk @1.20x,cyclic,43.54196590909093,25.89416313131312,-40.53056036703481,-41.824706084943294,-39.23641464912633
1.0,cycle 2wk @0.80x / 8wk @1.10x,cyclic,43.54196590909093,34.878465656565666,-19.89689733029821,-20.829588812558196,-18.964205848038226
1.0,cycle 2wk @0.80x / 8wk @1.20x,cyclic,43.54196590909093,22.010525252525245,-49.44985879029921,-50.769338428614475,-48.130379151983945
1.0,cycle 2wk @0.90x / 8wk @1.10x,cyclic,43.54196590909093,34.717518055555566,-20.266535213314654,-21.178313914571994,-19.354756512057318
1.0,cycle 2wk @0.90x / 8wk @1.20x,cyclic,43.54196590909093,21.26230707070706,-51.16824280488495,-52.45284610373977,-49.88363950603012
1.0,cycle 4wk @0.80x / 2wk @1.10x,cyclic,43.54196590909093,38.19309078282831,-12.284413472350508,-13.090504470119606,-11.478322474581407
1.0,cycle 4wk @0.80x / 2wk @1.20x,cyclic,43.54196590909093,34.28171616161617,-21.26741306722065,-22.261826511834204,-20.272999622607095
1.0,cycle 4wk @0.90x / 2wk @1.10x,cyclic,43.54196590909093,41.12721502525255,-5.545801236627736,-6.198957846772573,-4.8926446264829
1.0,cycle 4wk @0.90x / 2wk @1.20x,cyclic,43.54196590909093,36.52865959595959,-16.107004281281334,-16.981457454389446,-15.232551108173222
1.0,cycle 4wk @0.80x / 4wk @1.10x,cyclic,43.54196590909093,37.61292411616163,-13.616844506534795,-14.479587479660077,-12.754101533409512
1.0,cycle 4wk @0.80x / 4wk @1.20x,cyclic,43.54196590909093,31.132048484848482,-28.50104988404174,-29.616732659168587,-27.38536710891489
1.0,cycle 4wk @0.90x / 4wk @1.10x,cyclic,43.54196590909093,39.062258838383855,-10.288251752481816,-11.076738313895525,-9.499765191068105
1.0,cycle 4wk @0.90x / 4wk @1.20x,cyclic,43.54196590909093,31.527916287878785,-27.591886058373387,-28.635685013801606,-26.54808710294517
1.0,cycle 4wk @0.80x / 8wk @1.10x,cyclic,43.54196590909093,36.36989873737375,-16.471620015254672,-17.314671038691323,-15.628568991818021
1.0,cycle 4wk @0.80x / 8wk @1.20x,cyclic,43.54196590909093,26.3327404040404,-39.523308481249586,-40.68629417855917,-38.36032278394
1.0,cycle 4wk @0.90x / 8wk @1.10x,cyclic,43.54196590909093,36.75399343434345,-15.589494716246296,-16.426962863192866,-14.752026569299726
1.0,cycle 4wk @0.90x / 8wk @1.20x,cyclic,43.54196590909093,25.947653787878778,-40.40771185652581,-41.57822666802019,-39.23719704503142
